fold_index,train_fraction,split_method,group_column,heldout_group_value,policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,feature_kind,n_features,model,selected_policy,split,metric,value
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.0,0.8,ridge,0,31,17,1.5483870967741935,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,rmse,21.21833272508743
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.0,0.8,ridge,0,31,17,1.5483870967741935,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,mae,15.969660185798814
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.0,0.8,ridge,0,31,17,1.5483870967741935,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,r2,0.43657721640786207
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.0,0.8,ridge,0,31,17,1.5483870967741935,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,spearman,0.7400996658729424
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.0,0.8,ridge,0,31,17,1.5483870967741935,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,test,rmse,21.594740409957712
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.0,0.8,ridge,0,31,17,1.5483870967741935,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,test,mae,16.914068614310686
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.0,0.8,ridge,0,31,17,1.5483870967741935,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,test,r2,0.41143096574463967
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.0,0.8,ridge,0,31,17,1.5483870967741935,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,test,spearman,0.7140301699564385
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,0.25,0.8,ridge,1,158,34,1.2151898734177216,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,rmse,15.533308777626095
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,0.25,0.8,ridge,1,158,34,1.2151898734177216,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,mae,12.131605259213266
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,0.25,0.8,ridge,1,158,34,1.2151898734177216,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,r2,0.6980466549135693
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,0.25,0.8,ridge,1,158,34,1.2151898734177216,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,valid,spearman,0.8653204298152719
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,0.25,0.8,ridge,1,158,34,1.2151898734177216,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,test,rmse,15.971193720330456
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.8__teacher_ridge__seed_1,condition_recombine_pseudolabel,0.25,0.8,ridge,1,158,34,1.2151898734177216,False,1.0,1.0,1.0,reaction_role_concat,6144,random_forest,True,test,mae,12.38265270993565
