policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,max_teacher_std,max_prediction_range,n_candidates_generated,acceptance_rate,mean_teacher_std,mean_prediction_range,mean_nearest_train_similarity,feature_kind,n_features,model,selected_policy,split,metric,value,fold_index,train_fraction,split_method,group_column,heldout_group_value
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,25.0,15,0.6666666666666666,3.6128859685309735,9.055320140957832,0.8518628180027008,reaction_role_concat,6144,random_forest,False,valid,rmse,19.9543523899419,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,25.0,15,0.6666666666666666,3.6128859685309735,9.055320140957832,0.8518628180027008,reaction_role_concat,6144,random_forest,False,valid,mae,15.66944930535932,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,25.0,15,0.6666666666666666,3.6128859685309735,9.055320140957832,0.8518628180027008,reaction_role_concat,6144,random_forest,False,valid,r2,0.4882948647757541,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,25.0,15,0.6666666666666666,3.6128859685309735,9.055320140957832,0.8518628180027008,reaction_role_concat,6144,random_forest,False,valid,spearman,0.6945884574669413,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,25.0,15,0.6666666666666666,3.8710716432384364,9.960676869750023,0.843010526895523,reaction_role_concat,6144,random_forest,False,valid,rmse,22.06589126198433,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,25.0,15,0.6666666666666666,3.8710716432384364,9.960676869750023,0.843010526895523,reaction_role_concat,6144,random_forest,False,valid,mae,16.8476078732738,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,25.0,15,0.6666666666666666,3.8710716432384364,9.960676869750023,0.843010526895523,reaction_role_concat,6144,random_forest,False,valid,r2,0.37426932216875486,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_1,condition_recombine_ensemble_filter,0.5,0.75,ensemble,1,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,25.0,15,0.6666666666666666,3.8710716432384364,9.960676869750023,0.843010526895523,reaction_role_concat,6144,random_forest,False,valid,spearman,0.6608329523799699,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,9,1.2903225806451613,False,1.0,1.0,1.0,8.0,25.0,15,0.6,3.6466435888889572,9.167352464927568,0.8263345162073771,reaction_role_concat,6144,random_forest,False,valid,rmse,22.235720697745425,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,9,1.2903225806451613,False,1.0,1.0,1.0,8.0,25.0,15,0.6,3.6466435888889572,9.167352464927568,0.8263345162073771,reaction_role_concat,6144,random_forest,False,valid,mae,16.87315283460406,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,9,1.2903225806451613,False,1.0,1.0,1.0,8.0,25.0,15,0.6,3.6466435888889572,9.167352464927568,0.8263345162073771,reaction_role_concat,6144,random_forest,False,valid,r2,0.364600423788743,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_2,condition_recombine_ensemble_filter,0.5,0.75,ensemble,2,31,9,1.2903225806451613,False,1.0,1.0,1.0,8.0,25.0,15,0.6,3.6466435888889572,9.167352464927568,0.8263345162073771,reaction_role_concat,6144,random_forest,False,valid,spearman,0.6320679452614659,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,25.0,15,0.6666666666666666,3.668580082409214,9.553606004536153,0.8200967133045196,reaction_role_concat,6144,random_forest,False,valid,rmse,22.24378978270465,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_25__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,10,1.3225806451612903,False,1.0,1.0,1.0,8.0,25.0,15,0.6666666666666666,3.668580082409214,9.553606004536153,0.8200967133045196,reaction_role_concat,6144,random_forest,False,valid,mae,16.982814504968967,0,0.01,random,,
