fold_index,train_fraction,split_method,group_column,heldout_group_value,feature_kind,n_features,model,selection_metric,selection_value,lower_is_better,policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight
0,0.01,random,,,reaction_role_concat,6144,random_forest,rmse,25.088164028005767,True,condition_recombine_pseudolabel__mult_1.5__sim_0.7__teacher_ridge__seed_4,condition_recombine_pseudolabel,1.5,0.7,ridge,4,31,46,2.4838709677419355,True,0.7978135290353194,0.7310344576835632,0.85
1,0.05,random,,,reaction_role_concat,6144,random_forest,rmse,14.52346215916776,True,condition_recombine_pseudolabel__mult_0.5__sim_0.8__teacher_ridge__seed_4,condition_recombine_pseudolabel,0.5,0.8,ridge,4,158,74,1.4683544303797469,True,0.839869440085179,0.8024691343307495,0.85
2,0.1,random,,,reaction_role_concat,6144,random_forest,rmse,13.417276730526927,True,condition_recombine_pseudolabel__mult_1__sim_0.8__teacher_rf__seed_4,condition_recombine_pseudolabel,1.0,0.8,random_forest,4,316,308,1.9746835443037976,True,0.8440980538145286,0.8012820482254028,0.85
