train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value
0.5,random,,reaction_morgan_sum,2048,ridge,test,mae,12.77274419525356
0.5,random,,reaction_morgan_sum,2048,ridge,test,r2,0.6961510161285935
0.5,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.8716207101901607
0.5,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,10.181937037671593
0.5,random,,reaction_morgan_sum,2048,random_forest,valid,mae,6.400120370314091
0.5,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.8534466166323936
0.5,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9182840622872019
0.5,random,,reaction_morgan_sum,2048,random_forest,test,rmse,8.334823055287162
0.5,random,,reaction_morgan_sum,2048,random_forest,test,mae,5.620719648009035
0.5,random,,reaction_morgan_sum,2048,random_forest,test,r2,0.9114910590976627
0.5,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.9499988198023349
0.01,random,,reaction_role_concat,6144,ridge,valid,rmse,26.391342523831646
0.01,random,,reaction_role_concat,6144,ridge,valid,mae,21.34752566867237
0.01,random,,reaction_role_concat,6144,ridge,valid,r2,0.015404148960989628
0.01,random,,reaction_role_concat,6144,ridge,valid,spearman,0.5203194468113383
0.01,random,,reaction_role_concat,6144,ridge,test,rmse,25.396295711614428
0.01,random,,reaction_role_concat,6144,ridge,test,mae,20.631554286814097
0.01,random,,reaction_role_concat,6144,ridge,test,r2,0.1782586790117212
0.01,random,,reaction_role_concat,6144,ridge,test,spearman,0.6317929263142422
0.01,random,,reaction_role_concat,6144,random_forest,valid,rmse,23.59483659851003
0.01,random,,reaction_role_concat,6144,random_forest,valid,mae,18.45716834701013
0.01,random,,reaction_role_concat,6144,random_forest,valid,r2,0.21301041862996495
0.01,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.5012522643508043
0.01,random,,reaction_role_concat,6144,random_forest,test,rmse,23.773102360977642
0.01,random,,reaction_role_concat,6144,random_forest,test,mae,18.968947937508123
0.01,random,,reaction_role_concat,6144,random_forest,test,r2,0.2799442945581152
0.01,random,,reaction_role_concat,6144,random_forest,test,spearman,0.5503922950425927
0.05,random,,reaction_role_concat,6144,ridge,valid,rmse,18.154562211705496
0.05,random,,reaction_role_concat,6144,ridge,valid,mae,13.925880375014076
0.05,random,,reaction_role_concat,6144,ridge,valid,r2,0.5340851037239847
0.05,random,,reaction_role_concat,6144,ridge,valid,spearman,0.785991654182649
0.05,random,,reaction_role_concat,6144,ridge,test,rmse,16.7704013895301
0.05,random,,reaction_role_concat,6144,ridge,test,mae,13.444905835796487
0.05,random,,reaction_role_concat,6144,ridge,test,r2,0.6416715508979325
0.05,random,,reaction_role_concat,6144,ridge,test,spearman,0.8380801020420701
0.05,random,,reaction_role_concat,6144,random_forest,valid,rmse,16.191733872813977
0.05,random,,reaction_role_concat,6144,random_forest,valid,mae,11.786693595792674
0.05,random,,reaction_role_concat,6144,random_forest,valid,r2,0.6293860611844886
0.05,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.806632315516142
0.05,random,,reaction_role_concat,6144,random_forest,test,rmse,14.838119806132346
0.05,random,,reaction_role_concat,6144,random_forest,test,mae,11.153958847441457
0.05,random,,reaction_role_concat,6144,random_forest,test,r2,0.7194875625217979
0.05,random,,reaction_role_concat,6144,random_forest,test,spearman,0.8541249468079303
0.1,random,,reaction_role_concat,6144,ridge,valid,rmse,17.590524158807288
0.1,random,,reaction_role_concat,6144,ridge,valid,mae,13.560281748032269
0.1,random,,reaction_role_concat,6144,ridge,valid,r2,0.562586083521891
0.1,random,,reaction_role_concat,6144,ridge,valid,spearman,0.8079034869849374
0.1,random,,reaction_role_concat,6144,ridge,test,rmse,16.201182716582235
0.1,random,,reaction_role_concat,6144,ridge,test,mae,13.290782990705486
0.1,random,,reaction_role_concat,6144,ridge,test,r2,0.6655834091116473
0.1,random,,reaction_role_concat,6144,ridge,test,spearman,0.8541709402323704
0.1,random,,reaction_role_concat,6144,random_forest,valid,rmse,13.787979311860543
0.1,random,,reaction_role_concat,6144,random_forest,valid,mae,9.558471979996073
0.1,random,,reaction_role_concat,6144,random_forest,valid,r2,0.7312575444853646
0.1,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.8636825144099639
0.1,random,,reaction_role_concat,6144,random_forest,test,rmse,13.692595252617503
0.1,random,,reaction_role_concat,6144,random_forest,test,mae,9.683216991282322
0.1,random,,reaction_role_concat,6144,random_forest,test,r2,0.7611276309090029
