fold_index,train_fraction,split_method,group_column,heldout_group_value,policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,feature_kind,n_features,model,selected_policy,split,metric,value
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.7__teacher_ridge__seed_4,condition_recombine_pseudolabel,1.0,0.7,ridge,4,31,31,2.0,True,0.8004555840646068,0.7361111044883728,0.85,reaction_role_concat,6144,random_forest,True,valid,rmse,21.044379685916017
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.7__teacher_ridge__seed_4,condition_recombine_pseudolabel,1.0,0.7,ridge,4,31,31,2.0,True,0.8004555840646068,0.7361111044883728,0.85,reaction_role_concat,6144,random_forest,True,valid,mae,16.13919254145875
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.7__teacher_ridge__seed_4,condition_recombine_pseudolabel,1.0,0.7,ridge,4,31,31,2.0,True,0.8004555840646068,0.7361111044883728,0.85,reaction_role_concat,6144,random_forest,True,valid,r2,0.37395249018329346
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.7__teacher_ridge__seed_4,condition_recombine_pseudolabel,1.0,0.7,ridge,4,31,31,2.0,True,0.8004555840646068,0.7361111044883728,0.85,reaction_role_concat,6144,random_forest,True,valid,spearman,0.650042923730447
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.7__teacher_ridge__seed_4,condition_recombine_pseudolabel,1.0,0.7,ridge,4,31,31,2.0,True,0.8004555840646068,0.7361111044883728,0.85,reaction_role_concat,6144,random_forest,True,test,rmse,20.876245989537274
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.7__teacher_ridge__seed_4,condition_recombine_pseudolabel,1.0,0.7,ridge,4,31,31,2.0,True,0.8004555840646068,0.7361111044883728,0.85,reaction_role_concat,6144,random_forest,True,test,mae,16.692331140004097
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.7__teacher_ridge__seed_4,condition_recombine_pseudolabel,1.0,0.7,ridge,4,31,31,2.0,True,0.8004555840646068,0.7361111044883728,0.85,reaction_role_concat,6144,random_forest,True,test,r2,0.44473642301620064
0,0.01,random,,,condition_recombine_pseudolabel__mult_1__sim_0.7__teacher_ridge__seed_4,condition_recombine_pseudolabel,1.0,0.7,ridge,4,31,31,2.0,True,0.8004555840646068,0.7361111044883728,0.85,reaction_role_concat,6144,random_forest,True,test,spearman,0.6868538191079121
1,0.05,random,,,condition_recombine_pseudolabel__mult_1.5__sim_0.7__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.5,0.7,ridge,0,158,237,2.5,True,0.8346012360435999,0.753333330154419,0.85,reaction_role_concat,6144,random_forest,True,valid,rmse,15.698563710149816
1,0.05,random,,,condition_recombine_pseudolabel__mult_1.5__sim_0.7__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.5,0.7,ridge,0,158,237,2.5,True,0.8346012360435999,0.753333330154419,0.85,reaction_role_concat,6144,random_forest,True,valid,mae,11.550936969871007
