fold_index,train_fraction,split_method,group_column,heldout_group_value,feature_kind,n_features,model,selection_metric,selection_value,lower_is_better,policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight
0,0.01,random,,,reaction_role_concat,6144,random_forest,rmse,20.785125512261736,True,condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_2,condition_recombine_pseudolabel,0.25,0.7,ridge,2,31,7,1.2258064516129032,True,0.7997234855379377,0.7583892345428467,0.85
1,0.05,random,,,reaction_role_concat,6144,random_forest,rmse,13.889128638918875,True,condition_recombine_pseudolabel__mult_0.5__sim_0.8__teacher_ridge__seed_4,condition_recombine_pseudolabel,0.5,0.8,ridge,4,158,70,1.4430379746835442,True,0.839347677230835,0.8013244867324829,0.85
2,0.1,random,,,reaction_role_concat,6144,random_forest,rmse,12.963392342861798,True,condition_recombine_pseudolabel__mult_1.5__sim_0.85__teacher_rf__seed_0,condition_recombine_pseudolabel,1.5,0.85,random_forest,0,316,332,2.050632911392405,True,0.8499999999999998,0.85,0.85
