fold_index,train_fraction,split_method,group_column,heldout_group_value,policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,feature_kind,n_features,model,selected_policy,split,metric,value
0,0.01,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_2,condition_recombine_pseudolabel,0.25,0.7,ridge,2,31,7,1.2258064516129032,True,0.7997234855379377,0.7583892345428467,0.85,reaction_role_concat,6144,random_forest,True,valid,rmse,20.785125512261736
0,0.01,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_2,condition_recombine_pseudolabel,0.25,0.7,ridge,2,31,7,1.2258064516129032,True,0.7997234855379377,0.7583892345428467,0.85,reaction_role_concat,6144,random_forest,True,valid,mae,16.400309393967255
0,0.01,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_2,condition_recombine_pseudolabel,0.25,0.7,ridge,2,31,7,1.2258064516129032,True,0.7997234855379377,0.7583892345428467,0.85,reaction_role_concat,6144,random_forest,True,valid,r2,0.39416573394863497
0,0.01,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_2,condition_recombine_pseudolabel,0.25,0.7,ridge,2,31,7,1.2258064516129032,True,0.7997234855379377,0.7583892345428467,0.85,reaction_role_concat,6144,random_forest,True,valid,spearman,0.6755652261306403
0,0.01,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_2,condition_recombine_pseudolabel,0.25,0.7,ridge,2,31,7,1.2258064516129032,True,0.7997234855379377,0.7583892345428467,0.85,reaction_role_concat,6144,random_forest,True,test,rmse,22.584969943983676
0,0.01,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_2,condition_recombine_pseudolabel,0.25,0.7,ridge,2,31,7,1.2258064516129032,True,0.7997234855379377,0.7583892345428467,0.85,reaction_role_concat,6144,random_forest,True,test,mae,18.261068842612737
0,0.01,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_2,condition_recombine_pseudolabel,0.25,0.7,ridge,2,31,7,1.2258064516129032,True,0.7997234855379377,0.7583892345428467,0.85,reaction_role_concat,6144,random_forest,True,test,r2,0.3475192029511489
0,0.01,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.7__teacher_ridge__seed_2,condition_recombine_pseudolabel,0.25,0.7,ridge,2,31,7,1.2258064516129032,True,0.7997234855379377,0.7583892345428467,0.85,reaction_role_concat,6144,random_forest,True,test,spearman,0.6478487319542502
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.5__sim_0.8__teacher_ridge__seed_4,condition_recombine_pseudolabel,0.5,0.8,ridge,4,158,70,1.4430379746835442,True,0.839347677230835,0.8013244867324829,0.85,reaction_role_concat,6144,random_forest,True,valid,rmse,13.889128638918875
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.5__sim_0.8__teacher_ridge__seed_4,condition_recombine_pseudolabel,0.5,0.8,ridge,4,158,70,1.4430379746835442,True,0.839347677230835,0.8013244867324829,0.85,reaction_role_concat,6144,random_forest,True,valid,mae,10.643062927526763
