policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,max_teacher_std,max_prediction_range,n_candidates_generated,acceptance_rate,mean_teacher_std,mean_prediction_range,mean_nearest_train_similarity,feature_kind,n_features,model,selected_policy,split,metric,value,fold_index,train_fraction,split_method,group_column,heldout_group_value
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,50.0,15,0.8,3.018818273536619,7.722402496685585,0.8458343545595804,reaction_role_concat,6144,random_forest,False,valid,rmse,27.29370203843673,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,50.0,15,0.8,3.018818273536619,7.722402496685585,0.8458343545595804,reaction_role_concat,6144,random_forest,False,valid,mae,22.548466890576517,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,50.0,15,0.8,3.018818273536619,7.722402496685585,0.8458343545595804,reaction_role_concat,6144,random_forest,False,valid,r2,0.029271341566586284,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_3,condition_recombine_ensemble_filter,0.5,0.75,ensemble,3,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,50.0,15,0.8,3.018818273536619,7.722402496685585,0.8458343545595804,reaction_role_concat,6144,random_forest,False,valid,spearman,0.2740940923292497,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,50.0,15,0.8,3.2015456445983705,7.992709671407938,0.8240478783845901,reaction_role_concat,6144,random_forest,False,valid,rmse,27.3190729250695,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,50.0,15,0.8,3.2015456445983705,7.992709671407938,0.8240478783845901,reaction_role_concat,6144,random_forest,False,valid,mae,22.268169296988958,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,50.0,15,0.8,3.2015456445983705,7.992709671407938,0.8240478783845901,reaction_role_concat,6144,random_forest,False,valid,r2,0.02746581930253711,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_8__range_50__seed_4,condition_recombine_ensemble_filter,0.5,0.75,ensemble,4,31,12,1.3870967741935485,False,1.0,1.0,1.0,8.0,50.0,15,0.8,3.2015456445983705,7.992709671407938,0.8240478783845901,reaction_role_concat,6144,random_forest,False,valid,spearman,0.29610903844494896,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_12__range_25__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,12,1.3870967741935485,False,1.0,1.0,1.0,12.0,25.0,15,0.8,2.711343214444136,6.896783640931049,0.8363785296678543,reaction_role_concat,6144,random_forest,False,valid,rmse,27.063795743474664,0,0.01,random,,
condition_recombine_ensemble_filter__mult_0.5__sim_0.75__std_12__range_25__seed_0,condition_recombine_ensemble_filter,0.5,0.75,ensemble,0,31,12,1.3870967741935485,False,1.0,1.0,1.0,12.0,25.0,15,0.8,2.711343214444136,6.896783640931049,0.8363785296678543,reaction_role_concat,6144,random_forest,False,valid,mae,22.277362901983384,0,0.01,random,,
