fold_index,train_fraction,split_method,group_column,heldout_group_value,feature_kind,n_features,model,selection_metric,selection_value,lower_is_better,policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,max_teacher_std,max_prediction_range,n_candidates_generated,acceptance_rate,mean_teacher_std,mean_prediction_range,mean_nearest_train_similarity
0,0.01,random,,,reaction_role_concat,6144,random_forest,rmse,22.53904713366472,True,condition_recombine_ensemble_filter__mult_1__sim_0.75__std_16__range_50__seed_0,condition_recombine_ensemble_filter,1.0,0.75,ensemble,0,31,25,1.8064516129032258,False,1.0,1.0,1.0,16.0,50.0,31,0.8064516129032258,6.469115875850629,16.196333592301606,0.8057209420204162
1,0.05,random,,,reaction_role_concat,6144,random_forest,rmse,15.84224859982387,True,condition_recombine_ensemble_filter__mult_1.5__sim_0.9__std_16__range_35__seed_2,condition_recombine_ensemble_filter,1.5,0.9,ensemble,2,158,67,1.4240506329113924,False,1.0,1.0,1.0,16.0,35.0,237,0.28270042194092826,3.99755275178553,10.017975859295076,0.9250355193864054
2,0.1,random,,,reaction_role_concat,6144,random_forest,rmse,13.767867026812233,True,condition_recombine_ensemble_filter__mult_0.5__sim_0.8__std_8__range_25__seed_2,condition_recombine_ensemble_filter,0.5,0.8,ensemble,2,316,142,1.4493670886075949,False,1.0,1.0,1.0,8.0,25.0,158,0.8987341772151899,3.289926728750931,8.305379092632466,0.8856628675695876
