train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value,heldout_group_value
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,test,rmse,17.86316165239387,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,test,mae,15.084138656492474,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,test,r2,-0.36917501327728197,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,test,spearman,0.8119570588713043,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,valid,rmse,6.559516046053324,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,valid,mae,4.487807758600935,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.9467478735622723,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.971671179398134,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,test,rmse,18.93468580440104,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,test,mae,14.73991965122323,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,test,r2,-0.5383618954872051,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.852374271621097,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,valid,rmse,15.324153836654906,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,valid,mae,12.331029320106241,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,valid,r2,0.6352426617371483,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.8007529597045674,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,test,rmse,27.141418972160757,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,test,mae,22.559592027856848,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,test,r2,0.019737601658909032,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,test,spearman,0.8232265572263275,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,valid,rmse,6.412900817014498,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,valid,mae,4.182592242730758,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.9361207103891167,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9547452888468545,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,test,rmse,21.591068195743432,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,test,mae,16.161709237670284,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,test,r2,0.37966611595922073,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.7990833836513694,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,valid,rmse,14.279983716024727,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,valid,mae,11.73858334020346,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,valid,r2,0.7239809377378734,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,valid,spearman,0.8895790837425509,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,test,rmse,20.449576374596955,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,test,mae,16.793240295666564,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,test,r2,0.5305858936805374,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,ridge,test,spearman,0.760657334265935,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,valid,rmse,5.781711055909354,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,valid,mae,4.101099037697562,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,valid,r2,0.9547523092829334,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9782161173837625,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,test,rmse,21.04529353296336,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,test,mae,14.89028899631396,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,test,r2,0.5028385111523384,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_morgan_sum,2048,random_forest,test,spearman,0.7261912991878399,Cc1ccc(Nc2cccnc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,rmse,14.672181382279108,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,mae,11.363445383272593,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,r2,0.6979835060075745,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,spearman,0.8544938814749525,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,rmse,18.39720399021015,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,mae,15.402965680632411,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,r2,0.6017379190918222,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,spearman,0.8175010883105941,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,rmse,7.250545901148422,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,mae,4.619979968799773,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,r2,0.9262464889602854,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,spearman,0.9508929755938523,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,test,rmse,20.44668884644514,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,test,mae,16.201382967482875,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,test,r2,0.5080609627202951,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,test,spearman,0.8498890806446293,CCc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,rmse,16.605054730131673,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,mae,13.517526076752928,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,r2,0.6401047099265984,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,spearman,0.8450099569442013,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,rmse,18.408934844586057,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,mae,15.561582655890497,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,r2,0.163087933864276,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,spearman,0.8413720601785872,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,rmse,6.789820058098356,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,mae,4.170820014449485,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,r2,0.9398255582217024,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,spearman,0.9695535086873199,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,test,rmse,17.594523537476416,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,test,mae,14.802025832013872,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,test,r2,0.2354999304979647,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,test,spearman,0.8978659927884928,COc1ccc(Nc2ccc(C)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,rmse,16.342496404630005,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,mae,13.408345731040109,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,r2,0.6694553341784075,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,spearman,0.8673284624765508,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,rmse,17.49486923229508,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,mae,14.725340654804738,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,r2,-0.3132992897763722,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,spearman,0.8119363463370016,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,rmse,6.431934470942726,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,mae,4.4769473574369485,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,r2,0.9487992197565236,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,spearman,0.9730651236409471,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,test,rmse,19.212010738400664,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,test,mae,15.157120943645415,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,test,r2,-0.5837548197075864,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,test,spearman,0.8371957808696024,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,rmse,15.324156323894883,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,mae,12.330922315433574,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,r2,0.6352425433307272,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,valid,spearman,0.8007518184542495,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,rmse,27.691904917474083,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,mae,23.08734180680429,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,r2,-0.020429274173881184,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,ridge,test,spearman,0.8234783373460149,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,rmse,6.373356380024194,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,mae,4.159072786465618,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,r2,0.9369060904375084,Cc1ccc(Nc2ccccn2)cc1
1.0,leave_one_group_out,product_key,reaction_role_concat,6144,random_forest,valid,spearman,0.9566165589514024,Cc1ccc(Nc2ccccn2)cc1
