evaluation_unit,train_fraction,candidate_scope_mode,transferred_change_type,overlap_count,pseudo_label_mae,pseudo_label_rmse,pseudo_label_spearman,pseudo_label_bias,high_yield_prevalence,high_yield_precision,high_yield_recall,high_yield_enrichment,top_10pct_enrichment,top_10pct_mean_true_yield,top_20pct_enrichment,top_20pct_mean_true_yield,support_distance_metric,nearest_labeled_training_distance_mean,nearest_labeled_training_distance_median,nearest_labeled_training_similarity_mean,nearest_labeled_training_similarity_median
canonical-random:seed=0:fraction=0.01,0.01,observed_only_low_data,ligand|base,28,15.710310443823966,20.86777077709904,0.6467770691470318,-2.406565462984404,0.03571428571428571,,0.0,,0.0,66.29178114333334,0.0,54.18109039166668,cosine_distance,0.09370350774329861,0.09321363815952816,0.9062964922567013,0.9067863618404719
canonical-random:seed=0:fraction=0.01,0.01,observed_only_low_data,ligand|base,22,12.30751211811875,15.7901721871195,0.8031629803470954,-4.950659031896913,0.0,,,,,65.91307857666668,,62.00929510799999,euclidean_distance,5.358017487959429,5.291502475738525,,
canonical-random:seed=0:fraction=0.05,0.05,observed_only_low_data,ligand|base,117,12.532854338646006,17.626944402368252,0.7855430000530772,-2.7922575982340176,0.042735042735042736,,0.0,,3.9,69.24280322083332,2.925,64.49810850958333,cosine_distance,0.07991081427322007,0.08192280088872939,0.9200891857267801,0.9180771991112706
canonical-random:seed=0:fraction=0.05,0.05,observed_only_low_data,ligand|base,118,11.247597362384274,16.077409899256498,0.8238968308304427,-0.8726766030204853,0.059322033898305086,0.625,0.7142857142857143,10.535714285714285,7.023809523809524,77.37130773666667,4.214285714285714,72.32186654625,euclidean_distance,5.005852749792196,5.099019527435303,,
canonical-random:seed=0:fraction=0.1,0.1,observed_only_low_data,ligand|base,199,10.03076072807753,14.787030091148473,0.8313282981108329,-0.6993324070240176,0.03015075376884422,,0.0,,4.975,66.7786247995,3.316666666666667,64.93259275175,cosine_distance,0.07320455771562917,0.07587532753615345,0.9267954422843708,0.9241246724638466
canonical-random:seed=0:fraction=0.1,0.1,observed_only_low_data,ligand|base,197,9.909817246882099,14.611461341644624,0.8317487529574576,-1.2376299188772668,0.025380710659898477,0.5,0.2,19.7,5.91,65.99619443899999,2.955,64.63153810975,euclidean_distance,4.823373462948097,5.0,,
canonical-random:seed=1:fraction=0.01,0.01,observed_only_low_data,ligand|base,21,11.228297646992216,15.810899319857358,0.839883123218236,1.1090300538869948,0.0,,,,,59.23786855,,59.613270936000006,cosine_distance,0.08426122379787322,0.08503115451159049,0.9157387762021267,0.9149688454884095
canonical-random:seed=1:fraction=0.01,0.01,observed_only_low_data,ligand|base,20,9.550089783755684,12.83905971176888,0.8379090475971942,3.1437682171688914,0.0,,,,,50.98889276999999,,62.587828759999994,euclidean_distance,5.155542469024658,5.195261001586914,,
canonical-random:seed=1:fraction=0.05,0.05,observed_only_low_data,ligand|base,117,12.171314134196138,17.42336737300921,0.74698966710475,1.984336846830156,0.05982905982905983,0.6666666666666666,0.2857142857142857,11.142857142857142,6.964285714285714,73.9695477175,4.875,64.49203956579167,cosine_distance,0.07389015121598537,0.07718264643128747,0.9261098487840146,0.9228173535687125
canonical-random:seed=1:fraction=0.05,0.05,observed_only_low_data,ligand|base,117,10.518276162104238,14.301901348998324,0.8396140351549205,0.902830565857988,0.08547008547008547,0.8333333333333334,0.5,9.75,6.825,79.82748410583334,4.875,74.83897262291667,euclidean_distance,4.852595184603308,5.0,,
canonical-random:seed=1:fraction=0.1,0.1,observed_only_low_data,ligand|base,192,11.408921752576973,15.984666108927899,0.7809099775715385,3.1477901949395632,0.041666666666666664,1.0,0.125,24.0,4.800000000000001,67.23921675300001,4.307692307692308,64.04349975564104,cosine_distance,0.06623075970495917,0.0653978844531879,0.9337692402950407,0.934602115546812
canonical-random:seed=1:fraction=0.1,0.1,observed_only_low_data,ligand|base,196,10.911407513704535,15.379305067098718,0.8121068201787753,2.2615778681421155,0.05612244897959184,0.7142857142857143,0.45454545454545453,12.727272727272728,5.345454545454546,75.286214514,4.454545454545454,70.18225286399999,euclidean_distance,4.546854758749203,4.582575798034668,,
canonical-random:seed=2:fraction=0.01,0.01,observed_only_low_data,ligand|base,26,10.395453142475661,16.42472585383365,0.7594460702549185,3.4357860011770773,0.0,,,,,36.348948893333336,,50.542045441666666,cosine_distance,0.09290388186822543,0.10200096292791871,0.9070961181317746,0.8979990370720813
canonical-random:seed=2:fraction=0.01,0.01,observed_only_low_data,ligand|base,20,11.010255482837824,17.900627179866575,0.7183152068719215,2.5475536740805946,0.0,,,,,41.140007505,,46.5701720075,euclidean_distance,5.217725419998169,5.195261001586914,,
canonical-random:seed=2:fraction=0.05,0.05,observed_only_low_data,ligand|base,115,10.489530080835074,15.367973496556639,0.7775649327551201,-0.5589165826622653,0.017391304347826087,,0.0,,0.0,62.69359557916667,2.5,60.45087029652174,cosine_distance,0.0776944413184214,0.08303785640191153,0.9223055586815786,0.9169621435980885
canonical-random:seed=2:fraction=0.05,0.05,observed_only_low_data,ligand|base,118,9.677216852178612,13.245363820154596,0.8085250359482401,-0.7897463622172339,0.01694915254237288,0.0,0.0,0.0,0.0,66.14390337666667,4.916666666666666,60.296829362916675,euclidean_distance,4.966866196212122,5.196152210235596,,
