fold_index,train_fraction,split_method,group_column,heldout_group_value,policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,max_teacher_std,max_prediction_range,n_candidates_generated,acceptance_rate,mean_teacher_std,mean_prediction_range,mean_nearest_train_similarity,feature_kind,n_features,model,selected_policy,split,metric,value
1,0.05,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.9__std_16__range_35__seed_4,condition_recombine_ensemble_filter,1.5,0.9,ensemble,4,158,54,1.3417721518987342,False,1.0,1.0,1.0,16.0,35.0,237,0.22784810126582278,4.189531600240875,10.402345943903484,0.9239743252595266,reaction_role_concat,6144,random_forest,True,test,mae,12.196955472997042
1,0.05,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.9__std_16__range_35__seed_4,condition_recombine_ensemble_filter,1.5,0.9,ensemble,4,158,54,1.3417721518987342,False,1.0,1.0,1.0,16.0,35.0,237,0.22784810126582278,4.189531600240875,10.402345943903484,0.9239743252595266,reaction_role_concat,6144,random_forest,True,test,r2,0.6636758960619913
1,0.05,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.9__std_16__range_35__seed_4,condition_recombine_ensemble_filter,1.5,0.9,ensemble,4,158,54,1.3417721518987342,False,1.0,1.0,1.0,16.0,35.0,237,0.22784810126582278,4.189531600240875,10.402345943903484,0.9239743252595266,reaction_role_concat,6144,random_forest,True,test,spearman,0.8175682908647287
2,0.1,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_0,condition_recombine_ensemble_filter,1.5,0.75,ensemble,0,316,469,2.4841772151898733,False,1.0,1.0,1.0,16.0,35.0,474,0.989451476793249,4.158500416378603,10.278452604096582,0.8771849230154237,reaction_role_concat,6144,random_forest,True,valid,rmse,13.581477992887422
2,0.1,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_0,condition_recombine_ensemble_filter,1.5,0.75,ensemble,0,316,469,2.4841772151898733,False,1.0,1.0,1.0,16.0,35.0,474,0.989451476793249,4.158500416378603,10.278452604096582,0.8771849230154237,reaction_role_concat,6144,random_forest,True,valid,mae,10.010264859556349
2,0.1,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_0,condition_recombine_ensemble_filter,1.5,0.75,ensemble,0,316,469,2.4841772151898733,False,1.0,1.0,1.0,16.0,35.0,474,0.989451476793249,4.158500416378603,10.278452604096582,0.8771849230154237,reaction_role_concat,6144,random_forest,True,valid,r2,0.7691627122844888
2,0.1,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_0,condition_recombine_ensemble_filter,1.5,0.75,ensemble,0,316,469,2.4841772151898733,False,1.0,1.0,1.0,16.0,35.0,474,0.989451476793249,4.158500416378603,10.278452604096582,0.8771849230154237,reaction_role_concat,6144,random_forest,True,valid,spearman,0.8890512814394002
2,0.1,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_0,condition_recombine_ensemble_filter,1.5,0.75,ensemble,0,316,469,2.4841772151898733,False,1.0,1.0,1.0,16.0,35.0,474,0.989451476793249,4.158500416378603,10.278452604096582,0.8771849230154237,reaction_role_concat,6144,random_forest,True,test,rmse,14.493813622680264
2,0.1,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_0,condition_recombine_ensemble_filter,1.5,0.75,ensemble,0,316,469,2.4841772151898733,False,1.0,1.0,1.0,16.0,35.0,474,0.989451476793249,4.158500416378603,10.278452604096582,0.8771849230154237,reaction_role_concat,6144,random_forest,True,test,mae,10.258212826153772
2,0.1,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_0,condition_recombine_ensemble_filter,1.5,0.75,ensemble,0,316,469,2.4841772151898733,False,1.0,1.0,1.0,16.0,35.0,474,0.989451476793249,4.158500416378603,10.278452604096582,0.8771849230154237,reaction_role_concat,6144,random_forest,True,test,r2,0.7348651730307485
2,0.1,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_0,condition_recombine_ensemble_filter,1.5,0.75,ensemble,0,316,469,2.4841772151898733,False,1.0,1.0,1.0,16.0,35.0,474,0.989451476793249,4.158500416378603,10.278452604096582,0.8771849230154237,reaction_role_concat,6144,random_forest,True,test,spearman,0.8543062150101354
