fold_index,train_fraction,split_method,group_column,heldout_group_value,feature_kind,n_features,model,selection_metric,selection_value,lower_is_better,policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,max_teacher_std,max_prediction_range,n_candidates_generated,acceptance_rate,mean_teacher_std,mean_prediction_range,mean_nearest_train_similarity
0,0.01,random,,,reaction_role_concat,6144,random_forest,rmse,21.171386852503577,True,condition_recombine_ensemble_filter__mult_1__sim_0.8__std_8__range_25__seed_2,condition_recombine_ensemble_filter,1.0,0.8,ensemble,2,31,11,1.3548387096774193,False,1.0,1.0,1.0,8.0,25.0,31,0.3548387096774194,3.473469989254695,8.59404655673287,0.8516247597607699
1,0.05,random,,,reaction_role_concat,6144,random_forest,rmse,15.784660059869836,True,condition_recombine_ensemble_filter__mult_1.5__sim_0.9__std_16__range_35__seed_4,condition_recombine_ensemble_filter,1.5,0.9,ensemble,4,158,54,1.3417721518987342,False,1.0,1.0,1.0,16.0,35.0,237,0.22784810126582278,4.189531600240875,10.402345943903484,0.9239743252595266
2,0.1,random,,,reaction_role_concat,6144,random_forest,rmse,13.581477992887422,True,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_0,condition_recombine_ensemble_filter,1.5,0.75,ensemble,0,316,469,2.4841772151898733,False,1.0,1.0,1.0,16.0,35.0,474,0.989451476793249,4.158500416378603,10.278452604096582,0.8771849230154237
