train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value
0.5,random,,reaction_morgan_sum,2048,ridge,test,mae,12.287988386069886
0.5,random,,reaction_morgan_sum,2048,ridge,test,r2,0.7024142035976835
0.5,random,,reaction_morgan_sum,2048,ridge,test,spearman,0.858266577378887
0.5,random,,reaction_morgan_sum,2048,random_forest,valid,rmse,8.547540515535019
0.5,random,,reaction_morgan_sum,2048,random_forest,valid,mae,5.851261141966226
0.5,random,,reaction_morgan_sum,2048,random_forest,valid,r2,0.9085688398665981
0.5,random,,reaction_morgan_sum,2048,random_forest,valid,spearman,0.9473269302541841
0.5,random,,reaction_morgan_sum,2048,random_forest,test,rmse,8.84816461928434
0.5,random,,reaction_morgan_sum,2048,random_forest,test,mae,6.078507921377414
0.5,random,,reaction_morgan_sum,2048,random_forest,test,r2,0.9011884249776969
0.5,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.9422281534433096
0.01,random,,reaction_role_concat,6144,ridge,valid,rmse,26.46585177362724
0.01,random,,reaction_role_concat,6144,ridge,valid,mae,21.13576546764072
0.01,random,,reaction_role_concat,6144,ridge,valid,r2,0.12343596866314299
0.01,random,,reaction_role_concat,6144,ridge,valid,spearman,0.5886752760978515
0.01,random,,reaction_role_concat,6144,ridge,test,rmse,26.61766099076595
0.01,random,,reaction_role_concat,6144,ridge,test,mae,21.317603269008675
0.01,random,,reaction_role_concat,6144,ridge,test,r2,0.10578651942741268
0.01,random,,reaction_role_concat,6144,ridge,test,spearman,0.5571251139816371
0.01,random,,reaction_role_concat,6144,random_forest,valid,rmse,21.686243649115106
0.01,random,,reaction_role_concat,6144,random_forest,valid,mae,16.569035775652413
0.01,random,,reaction_role_concat,6144,random_forest,valid,r2,0.411453799973473
0.01,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.732012930736291
0.01,random,,reaction_role_concat,6144,random_forest,test,rmse,21.92174929983237
0.01,random,,reaction_role_concat,6144,random_forest,test,mae,17.172640177065677
0.01,random,,reaction_role_concat,6144,random_forest,test,r2,0.39347061356082
0.01,random,,reaction_role_concat,6144,random_forest,test,spearman,0.7292631383111146
0.05,random,,reaction_role_concat,6144,ridge,valid,rmse,17.614049968570473
0.05,random,,reaction_role_concat,6144,ridge,valid,mae,14.141818427813204
0.05,random,,reaction_role_concat,6144,ridge,valid,r2,0.611733123108612
0.05,random,,reaction_role_concat,6144,ridge,valid,spearman,0.8215759108060297
0.05,random,,reaction_role_concat,6144,ridge,test,rmse,17.584918544041024
0.05,random,,reaction_role_concat,6144,ridge,test,mae,14.328924023894348
0.05,random,,reaction_role_concat,6144,ridge,test,r2,0.6097147344617819
0.05,random,,reaction_role_concat,6144,ridge,test,spearman,0.7891387503199631
0.05,random,,reaction_role_concat,6144,random_forest,valid,rmse,16.074816518459752
0.05,random,,reaction_role_concat,6144,random_forest,valid,mae,12.086281774744203
0.05,random,,reaction_role_concat,6144,random_forest,valid,r2,0.6766268603219118
0.05,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.8448850212796283
0.05,random,,reaction_role_concat,6144,random_forest,test,rmse,16.55774246979803
0.05,random,,reaction_role_concat,6144,random_forest,test,mae,12.342318603289549
0.05,random,,reaction_role_concat,6144,random_forest,test,r2,0.6539780248553229
0.05,random,,reaction_role_concat,6144,random_forest,test,spearman,0.8122593355865017
0.1,random,,reaction_role_concat,6144,ridge,valid,rmse,16.746042689938008
0.1,random,,reaction_role_concat,6144,ridge,valid,mae,13.656037662074535
0.1,random,,reaction_role_concat,6144,ridge,valid,r2,0.6490572440134994
0.1,random,,reaction_role_concat,6144,ridge,valid,spearman,0.8418867737560053
0.1,random,,reaction_role_concat,6144,ridge,test,rmse,16.198890198305307
0.1,random,,reaction_role_concat,6144,ridge,test,mae,13.044773268880267
0.1,random,,reaction_role_concat,6144,ridge,test,r2,0.6688140098001834
0.1,random,,reaction_role_concat,6144,ridge,test,spearman,0.8316127115419689
0.1,random,,reaction_role_concat,6144,random_forest,valid,rmse,14.101153008847355
0.1,random,,reaction_role_concat,6144,random_forest,valid,mae,10.215592575794533
0.1,random,,reaction_role_concat,6144,random_forest,valid,r2,0.7511594546626889
0.1,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.8785523514863487
0.1,random,,reaction_role_concat,6144,random_forest,test,rmse,14.883098144184174
0.1,random,,reaction_role_concat,6144,random_forest,test,mae,10.513744277920987
0.1,random,,reaction_role_concat,6144,random_forest,test,r2,0.7204315715997038
0.1,random,,reaction_role_concat,6144,random_forest,test,spearman,0.8443472858710793
