train_fraction,split_method,group_column,feature_kind,n_features,model,split,metric,value
0.5,random,,reaction_morgan_sum,2048,random_forest,test,spearman,0.953202320810876
0.01,random,,reaction_role_concat,6144,ridge,valid,rmse,28.973249617719837
0.01,random,,reaction_role_concat,6144,ridge,valid,mae,23.737406521507456
0.01,random,,reaction_role_concat,6144,ridge,valid,r2,-0.09387418998237118
0.01,random,,reaction_role_concat,6144,ridge,valid,spearman,0.3525078669042848
0.01,random,,reaction_role_concat,6144,ridge,test,rmse,28.79472212634827
0.01,random,,reaction_role_concat,6144,ridge,test,mae,22.84831164762227
0.01,random,,reaction_role_concat,6144,ridge,test,r2,-0.04491904933558466
0.01,random,,reaction_role_concat,6144,ridge,test,spearman,0.3781003797343511
0.01,random,,reaction_role_concat,6144,random_forest,valid,rmse,26.60717642441269
0.01,random,,reaction_role_concat,6144,random_forest,valid,mae,22.122964368931857
0.01,random,,reaction_role_concat,6144,random_forest,valid,r2,0.07749115743063129
0.01,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.30969971820848363
0.01,random,,reaction_role_concat,6144,random_forest,test,rmse,26.719656990798203
0.01,random,,reaction_role_concat,6144,random_forest,test,mae,22.065757065129404
0.01,random,,reaction_role_concat,6144,random_forest,test,r2,0.10025670236828976
0.01,random,,reaction_role_concat,6144,random_forest,test,spearman,0.3213724972020543
0.05,random,,reaction_role_concat,6144,ridge,valid,rmse,17.793390741128032
0.05,random,,reaction_role_concat,6144,ridge,valid,mae,13.778111589407619
0.05,random,,reaction_role_concat,6144,ridge,valid,r2,0.5874368912168615
0.05,random,,reaction_role_concat,6144,ridge,valid,spearman,0.7850699239946778
0.05,random,,reaction_role_concat,6144,ridge,test,rmse,15.857855644963637
0.05,random,,reaction_role_concat,6144,ridge,test,mae,12.871441291137176
0.05,random,,reaction_role_concat,6144,ridge,test,r2,0.6830828197772107
0.05,random,,reaction_role_concat,6144,ridge,test,spearman,0.8455532441325081
0.05,random,,reaction_role_concat,6144,random_forest,valid,rmse,15.347443997609096
0.05,random,,reaction_role_concat,6144,random_forest,valid,mae,11.017895912626877
0.05,random,,reaction_role_concat,6144,random_forest,valid,r2,0.6930659473078735
0.05,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.8373159149276908
0.05,random,,reaction_role_concat,6144,random_forest,test,rmse,14.67216998938619
0.05,random,,reaction_role_concat,6144,random_forest,test,mae,10.851791389720757
0.05,random,,reaction_role_concat,6144,random_forest,test,r2,0.7287026429566072
0.05,random,,reaction_role_concat,6144,random_forest,test,spearman,0.8718058468644415
0.1,random,,reaction_role_concat,6144,ridge,valid,rmse,17.04447719457625
0.1,random,,reaction_role_concat,6144,ridge,valid,mae,13.564090811904473
0.1,random,,reaction_role_concat,6144,ridge,valid,r2,0.6214351138811609
0.1,random,,reaction_role_concat,6144,ridge,valid,spearman,0.8138895570896435
0.1,random,,reaction_role_concat,6144,ridge,test,rmse,16.14010027098847
0.1,random,,reaction_role_concat,6144,ridge,test,mae,12.796940929961927
0.1,random,,reaction_role_concat,6144,ridge,test,r2,0.671701181468617
0.1,random,,reaction_role_concat,6144,ridge,test,spearman,0.8519727957664088
0.1,random,,reaction_role_concat,6144,random_forest,valid,rmse,14.471259460462234
0.1,random,,reaction_role_concat,6144,random_forest,valid,mae,10.225675690967824
0.1,random,,reaction_role_concat,6144,random_forest,valid,r2,0.7271112578288355
0.1,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.8613827436756167
0.1,random,,reaction_role_concat,6144,random_forest,test,rmse,13.589553703814277
0.1,random,,reaction_role_concat,6144,random_forest,test,mae,9.895566028636512
0.1,random,,reaction_role_concat,6144,random_forest,test,r2,0.7672620249601887
0.1,random,,reaction_role_concat,6144,random_forest,test,spearman,0.8890296140802035
0.2,random,,reaction_role_concat,6144,ridge,valid,rmse,15.49226463776839
0.2,random,,reaction_role_concat,6144,ridge,valid,mae,12.537473811680757
0.2,random,,reaction_role_concat,6144,ridge,valid,r2,0.6872460718873672
0.2,random,,reaction_role_concat,6144,ridge,valid,spearman,0.8625854035538203
0.2,random,,reaction_role_concat,6144,ridge,test,rmse,15.13557569693984
0.2,random,,reaction_role_concat,6144,ridge,test,mae,12.139478474253355
0.2,random,,reaction_role_concat,6144,ridge,test,r2,0.7112947032576636
0.2,random,,reaction_role_concat,6144,ridge,test,spearman,0.8798933027823864
0.2,random,,reaction_role_concat,6144,random_forest,valid,rmse,9.13914208945117
0.2,random,,reaction_role_concat,6144,random_forest,valid,mae,6.7270130207712135
0.2,random,,reaction_role_concat,6144,random_forest,valid,r2,0.8911611816330667
0.2,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.9464053056448352
0.2,random,,reaction_role_concat,6144,random_forest,test,rmse,9.9865295988632
0.2,random,,reaction_role_concat,6144,random_forest,test,mae,7.457327214403435
0.2,random,,reaction_role_concat,6144,random_forest,test,r2,0.8743142474167253
0.2,random,,reaction_role_concat,6144,random_forest,test,spearman,0.9388603929668095
0.5,random,,reaction_role_concat,6144,ridge,valid,rmse,15.152481983713518
0.5,random,,reaction_role_concat,6144,ridge,valid,mae,12.102103350735918
0.5,random,,reaction_role_concat,6144,ridge,valid,r2,0.7008145206269965
0.5,random,,reaction_role_concat,6144,ridge,valid,spearman,0.86539303796508
0.5,random,,reaction_role_concat,6144,ridge,test,rmse,14.552816446334848
0.5,random,,reaction_role_concat,6144,ridge,test,mae,11.843382782406277
0.5,random,,reaction_role_concat,6144,ridge,test,r2,0.7330985297225123
0.5,random,,reaction_role_concat,6144,ridge,test,spearman,0.8920543034566402
0.5,random,,reaction_role_concat,6144,random_forest,valid,rmse,8.101880735830644
0.5,random,,reaction_role_concat,6144,random_forest,valid,mae,5.485022619936898
0.5,random,,reaction_role_concat,6144,random_forest,valid,r2,0.9144648441985701
0.5,random,,reaction_role_concat,6144,random_forest,valid,spearman,0.9520749044715675
0.5,random,,reaction_role_concat,6144,random_forest,test,rmse,8.549780404121716
0.5,random,,reaction_role_concat,6144,random_forest,test,mae,5.976552713790655
0.5,random,,reaction_role_concat,6144,random_forest,test,r2,0.9078772734117926
0.5,random,,reaction_role_concat,6144,random_forest,test,spearman,0.9527304712011696
