evaluation_unit,train_fraction,candidate_scope_mode,transferred_change_type,overlap_count,pseudo_label_mae,pseudo_label_rmse,pseudo_label_spearman,pseudo_label_bias,high_yield_prevalence,high_yield_precision,high_yield_recall,high_yield_enrichment,top_10pct_enrichment,top_10pct_mean_true_yield,top_20pct_enrichment,top_20pct_mean_true_yield,support_distance_metric,nearest_labeled_training_distance_mean,nearest_labeled_training_distance_median,nearest_labeled_training_similarity_mean,nearest_labeled_training_similarity_median
canonical-random:seed=6:fraction=0.01,0.01,observed_only_low_data,ligand|base,22,17.563593396014014,21.689669921126264,0.5471485036702428,8.961924873086451,0.045454545454545456,0.0,0.0,0.0,7.333333333333333,70.52264542333333,4.4,53.515516872,cosine_distance,0.09130885830387117,0.09403398296669341,0.9086911416961289,0.9059660170333066
canonical-random:seed=6:fraction=0.01,0.01,observed_only_low_data,ligand|base,16,18.640306164820824,23.58997781228551,0.5,10.112842472472538,0.0625,0.0,0.0,0.0,8.0,69.24307814,4.0,57.136580585,euclidean_distance,5.213920682668686,5.2438273429870605,,
canonical-random:seed=6:fraction=0.1,0.1,observed_only_low_data,ligand|base,209,10.45609088639294,15.303172265525037,0.783304808833574,-1.4645678874241743,0.019138755980861243,,0.0,,2.488095238095238,64.05420091238095,3.732142857142857,59.119622787619036,cosine_distance,0.06866953098623135,0.07072963970931956,0.9313304690137685,0.9292703602906804
canonical-random:seed=6:fraction=0.1,0.1,observed_only_low_data,ligand|base,214,10.859006621971917,16.085434446816492,0.7790166942608338,-1.1356105913378212,0.028037383177570093,0.25,0.16666666666666666,8.916666666666666,3.2424242424242427,63.94283480727274,3.317829457364341,60.15292493162791,euclidean_distance,4.64722988761474,4.795831680297852,,
canonical-random:seed=7:fraction=0.01,0.01,observed_only_low_data,ligand|base,24,15.035180662502633,18.379903024622774,0.5539130434782608,3.75623970328011,0.0,,,,,60.885541636666666,,48.998734874,cosine_distance,0.10094115725283553,0.09065875045640437,0.8990588427471645,0.9093412495435956
canonical-random:seed=7:fraction=0.01,0.01,observed_only_low_data,ligand|base,16,13.472947923977951,17.33668050535793,0.6558823529411765,3.395039956960014,0.0,,,,,46.20368434,,47.66656936500001,euclidean_distance,5.332851439714432,5.385164737701416,,
canonical-random:seed=7:fraction=0.1,0.1,observed_only_low_data,ligand|base,201,10.404381471684884,15.228558859907523,0.8388775750135643,-3.717797331819356,0.04477611940298507,,0.0,,4.253968253968254,69.70688834,3.268292682926829,64.5171748552439,cosine_distance,0.06942009996918429,0.07135025392929062,0.9305799000308158,0.9286497460707094
canonical-random:seed=7:fraction=0.1,0.1,observed_only_low_data,ligand|base,200,10.584334160098331,15.160209633743078,0.8435825516328014,-4.136836850111142,0.05,,0.0,,5.0,70.84662986499998,2.9999999999999996,64.6578319415,euclidean_distance,4.652224936485291,4.63649582862854,,
canonical-random:seed=8:fraction=0.01,0.01,observed_only_low_data,ligand|base,27,10.24083061075667,13.837198615570545,0.8277338135738362,-2.285849241830896,0.0,,,,,60.20164125,,66.165592595,cosine_distance,0.09487054798325291,0.09690691629203685,0.9051294520167471,0.9030930837079632
canonical-random:seed=8:fraction=0.01,0.01,observed_only_low_data,ligand|base,16,10.011503386447028,13.806419807482548,0.7581153928222084,0.7793709730859868,0.0,,,,,58.735126040000004,,57.02946192,euclidean_distance,5.322746515274048,5.567039966583252,,
canonical-random:seed=8:fraction=0.1,0.1,observed_only_low_data,ligand|base,203,9.940316789424859,15.460067433214169,0.8053299427575319,2.454936699162743,0.029556650246305417,0.0,0.0,0.0,6.444444444444445,68.50286760709523,4.126016260162602,61.62826743148781,cosine_distance,0.07008160551386369,0.0702972650044068,0.9299183944861362,0.9297027349955932
canonical-random:seed=8:fraction=0.1,0.1,observed_only_low_data,ligand|base,202,9.420371352978984,15.017424194659661,0.8183582283053655,1.5248833950124219,0.04455445544554455,0.42857142857142855,0.3333333333333333,9.619047619047619,7.481481481481482,71.3993466937619,4.379403794037941,65.44012224270732,euclidean_distance,4.6976608167780505,4.795831680297852,,
canonical-random:seed=9:fraction=0.01,0.01,observed_only_low_data,ligand|base,24,10.814700977918868,14.58216077049342,0.7078260869565216,0.21006782736552143,0.041666666666666664,,0.0,,8.0,53.75624800666666,4.800000000000001,54.05557708799999,cosine_distance,0.09800143332918936,0.10054736293356908,0.9019985666708107,0.8994526370664309
canonical-random:seed=9:fraction=0.01,0.01,observed_only_low_data,ligand|base,17,8.224191520968784,10.444005451832334,0.8823529411764707,-0.32248690991529155,0.058823529411764705,,0.0,,8.5,71.02694977499999,4.25,63.460593572499995,euclidean_distance,5.328622649697697,5.4772257804870605,,
canonical-random:seed=9:fraction=0.1,0.1,observed_only_low_data,ligand|base,192,10.605970255498695,15.062203851617243,0.7890513679274285,2.053146890676486,0.015625,,0.0,,6.4,62.73336584369999,4.923076923076923,60.0708096465641,cosine_distance,0.06880632323038433,0.06869535714797897,0.9311936767696157,0.9313046428520211
canonical-random:seed=9:fraction=0.1,0.1,observed_only_low_data,ligand|base,189,10.233700122130475,14.768378485278873,0.8132301492224291,2.099959007598758,0.05291005291005291,1.0,0.3,18.900000000000002,8.952631578947368,70.2393455631579,4.476315789473684,65.31736801457895,euclidean_distance,4.6526045370354225,4.690415859222412,,
