fold_index,train_fraction,split_method,group_column,heldout_group_value,policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,feature_kind,n_features,model,selected_policy,split,metric,value
0,0.01,random,,,condition_recombine_pseudolabel__mult_1.5__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.5,0.8,ridge,0,31,26,1.8387096774193548,True,0.8353718560475569,0.8047337532043457,0.85,reaction_role_concat,6144,random_forest,True,valid,rmse,20.96534411793503
0,0.01,random,,,condition_recombine_pseudolabel__mult_1.5__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.5,0.8,ridge,0,31,26,1.8387096774193548,True,0.8353718560475569,0.8047337532043457,0.85,reaction_role_concat,6144,random_forest,True,valid,mae,16.07838155108162
0,0.01,random,,,condition_recombine_pseudolabel__mult_1.5__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.5,0.8,ridge,0,31,26,1.8387096774193548,True,0.8353718560475569,0.8047337532043457,0.85,reaction_role_concat,6144,random_forest,True,valid,r2,0.4499326283949161
0,0.01,random,,,condition_recombine_pseudolabel__mult_1.5__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.5,0.8,ridge,0,31,26,1.8387096774193548,True,0.8353718560475569,0.8047337532043457,0.85,reaction_role_concat,6144,random_forest,True,valid,spearman,0.7361582830286141
0,0.01,random,,,condition_recombine_pseudolabel__mult_1.5__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.5,0.8,ridge,0,31,26,1.8387096774193548,True,0.8353718560475569,0.8047337532043457,0.85,reaction_role_concat,6144,random_forest,True,test,rmse,21.7376592569942
0,0.01,random,,,condition_recombine_pseudolabel__mult_1.5__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.5,0.8,ridge,0,31,26,1.8387096774193548,True,0.8353718560475569,0.8047337532043457,0.85,reaction_role_concat,6144,random_forest,True,test,mae,17.162351007154495
0,0.01,random,,,condition_recombine_pseudolabel__mult_1.5__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.5,0.8,ridge,0,31,26,1.8387096774193548,True,0.8353718560475569,0.8047337532043457,0.85,reaction_role_concat,6144,random_forest,True,test,r2,0.403614621505727
0,0.01,random,,,condition_recombine_pseudolabel__mult_1.5__sim_0.8__teacher_ridge__seed_0,condition_recombine_pseudolabel,1.5,0.8,ridge,0,31,26,1.8387096774193548,True,0.8353718560475569,0.8047337532043457,0.85,reaction_role_concat,6144,random_forest,True,test,spearman,0.70726926703026
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.85__teacher_ridge__seed_1,condition_recombine_pseudolabel,0.25,0.85,ridge,1,158,26,1.1645569620253164,True,0.8500000000000001,0.85,0.85,reaction_role_concat,6144,random_forest,True,valid,rmse,15.440493050958755
1,0.05,random,,,condition_recombine_pseudolabel__mult_0.25__sim_0.85__teacher_ridge__seed_1,condition_recombine_pseudolabel,0.25,0.85,ridge,1,158,26,1.1645569620253164,True,0.8500000000000001,0.85,0.85,reaction_role_concat,6144,random_forest,True,valid,mae,11.986331775755822
