search,train_fraction,metric,baseline_mean,augmented_mean,delta_mean_aug_minus_base,delta_std,n_seeds,improved_seeds,paired_t_p,wilcoxon_p
ensemble_filter,0.01,mae,17.659406863926637,16.558714737679132,-1.100692126247505,0.8863212446119657,5,5,0.0499769089351505,0.0625
ensemble_filter,0.01,rmse,22.16749020165391,20.930705968672648,-1.2367842329812575,0.7751051476008657,5,5,0.023418746584377866,0.0625
ensemble_filter,0.01,r2,0.3611510305091238,0.4286756681695413,0.06752463766041741,0.03898364421334032,5,5,0.017945301820930817,0.0625
ensemble_filter,0.01,spearman,0.6474599302972028,0.694163792407433,0.04670386211023023,0.03993684905033379,5,4,0.059111619735073465,0.125
ensemble_filter,0.05,mae,11.394685336275685,11.162323474316885,-0.23236186195880001,0.2137223326564987,5,4,0.07189677513750081,0.125
ensemble_filter,0.05,rmse,15.36931828845952,15.045464937457103,-0.3238533510024119,0.30864065623236697,5,5,0.07883494482152635,0.0625
ensemble_filter,0.05,r2,0.6932197037186856,0.7057865548823834,0.012566851163697912,0.011618032036598207,5,5,0.07286679116104186,0.0625
ensemble_filter,0.05,spearman,0.8389864628005708,0.8453167944653843,0.0063303316648138045,0.006787927842361853,5,4,0.10538594385557316,0.125
ensemble_filter,0.1,mae,9.827956546558536,9.72230409670305,-0.10565244985548575,0.23282462260247572,5,4,0.36763815299769603,0.625
ensemble_filter,0.1,rmse,13.627850629676214,13.470043122087475,-0.1578075075887412,0.25099033586623615,5,4,0.2324723232276271,0.3125
ensemble_filter,0.1,r2,0.7587883764354897,0.7645063213915344,0.005717944956044718,0.00888086162084617,5,4,0.22336831938734644,0.3125
ensemble_filter,0.1,spearman,0.8700025892769292,0.8744069959783503,0.0044044067014210155,0.005306020624334178,5,4,0.1370163859413197,0.1875
large_search,0.01,mae,17.659406863926637,16.325500874044998,-1.3339059898816412,0.9253351664807635,5,5,0.03217712925397985,0.0625
large_search,0.01,rmse,22.16749020165391,20.541408672084405,-1.6260815295695032,1.0018218158124699,5,5,0.022171341529643653,0.0625
large_search,0.01,r2,0.3611510305091238,0.4510186005365708,0.08986757002744698,0.0559198304887137,5,5,0.022889526522131075,0.0625
large_search,0.01,spearman,0.6474599302972028,0.7044976893909151,0.057037759093712184,0.05769015539285932,5,4,0.09154646615509449,0.125
large_search,0.05,mae,11.394685336275685,11.32573834544375,-0.06894699083193459,0.17922566081544544,5,3,0.4381809958311715,0.4375
large_search,0.05,rmse,15.36931828845952,14.924064022375656,-0.4452542660838613,0.1723751509866045,5,5,0.004461871914034554,0.0625
large_search,0.05,r2,0.6932197037186856,0.7107936945586714,0.017573990839985877,0.007136977478593475,5,5,0.005306988854557935,0.0625
large_search,0.05,spearman,0.8389864628005708,0.8491890523493535,0.010202589548782903,0.0035549850550009774,5,5,0.0030303658862712063,0.0625
large_search,0.1,mae,9.827956546558536,9.803475224861103,-0.0244813216974336,0.25083227475209974,5,3,0.8379233226125495,0.8125
large_search,0.1,rmse,13.627850629676214,13.34387300847383,-0.2839776212023839,0.4429379995805842,5,4,0.22498482037664652,0.1875
large_search,0.1,r2,0.7587883764354897,0.768924319585567,0.01013594315007731,0.015696952260771623,5,4,0.222262904347162,0.1875
large_search,0.1,spearman,0.8700025892769292,0.8761590545722268,0.006156465295297342,0.010475205611029171,5,4,0.25908141386787614,0.1875
small_search,0.01,mae,17.659406863926637,16.242731843871525,-1.4166750200551124,0.8238489811559944,5,5,0.018379300951139824,0.0625
small_search,0.01,rmse,22.16749020165391,20.470761498481433,-1.6967287031724716,0.9687461726733448,5,5,0.017300080162571743,0.0625
small_search,0.01,r2,0.3611510305091238,0.45499346685841396,0.09384243634929011,0.05437882976407047,5,5,0.01816551451774866,0.0625
small_search,0.01,spearman,0.6474599302972028,0.7083651979056957,0.06090526760849289,0.056628697577153025,5,4,0.07395956616309976,0.125
small_search,0.05,mae,11.394685336275685,11.266121015927556,-0.12856432034812748,0.1477803442042537,5,4,0.1236210575671094,0.1875
small_search,0.05,rmse,15.36931828845952,14.993174048819418,-0.3761442396400991,0.20023050870398496,5,5,0.01368943213042787,0.0625
small_search,0.05,r2,0.6932197037186856,0.7080258502819625,0.014806146563277011,0.007851623529237354,5,5,0.013513845465053652,0.0625
small_search,0.05,spearman,0.8389864628005708,0.848202556389435,0.009216093588864372,0.006284481055045653,5,5,0.03052488010939755,0.0625
small_search,0.1,mae,9.827956546558536,9.875222522333564,0.047265975775028224,0.24653537814493526,5,3,0.6902190044860801,0.8125
small_search,0.1,rmse,13.627850629676214,13.306551817530192,-0.3212988121460231,0.32775500100517635,5,4,0.09348092444769944,0.125
small_search,0.1,r2,0.7587883764354897,0.7702539950655101,0.011465618630020491,0.011885842095542993,5,4,0.09721412469073917,0.125
small_search,0.1,spearman,0.8700025892769292,0.8775784505445413,0.007575861267612116,0.009647616706251607,5,3,0.153953908768462,0.3125
