method_family,metric,mean,median,std_value,n_evaluation_units
anonymous_transfer_without_ae,mae,7.666080020086722,7.659636577131872,0.5414995190605405,10
anonymous_transfer_without_ae,r2,0.8293544953926203,0.823575150510655,0.02197169819998059,10
anonymous_transfer_without_ae,rmse,11.169615714033451,11.436422791226661,0.8020413680157152,10
anonymous_transfer_without_ae,spearman,0.9065867722656179,0.9077854318007075,0.0076759701001525415,10
direct_xgboost,mae,7.311758009788589,7.360635588102273,0.49967507046331555,10
direct_xgboost,r2,0.8488426998434899,0.8504602638703784,0.021556789297103335,10
direct_xgboost,rmse,10.508668333718843,10.508131386155945,0.8380574713233073,10
direct_xgboost,spearman,0.9188054855286646,0.9198978961963944,0.00955939298873115,10
linear_autoencoder,mae,12.703600605876451,12.625206729959,0.47313178238577763,10
linear_autoencoder,r2,0.6550005727363764,0.6538601248265401,0.015876642732122883,10
linear_autoencoder,rmse,15.908092230477877,16.123141635999062,0.5531388218640959,10
linear_autoencoder,spearman,0.8378365075096006,0.8385397070127487,0.00638718235849073,10
matched_direct_mlp,mae,8.205213759961374,8.073591202691063,0.5969669825019881,10
matched_direct_mlp,r2,0.8231870950293544,0.8290272528044365,0.022655986125024497,10
matched_direct_mlp,rmse,11.377072844518334,11.016115328492399,0.8919050664906797,10
matched_direct_mlp,spearman,0.9064909220070205,0.9074758580200273,0.009726310516608407,10
redesigned_supervised_ae,mae,8.474509804707862,8.183247729976895,0.7802658381987896,10
redesigned_supervised_ae,r2,0.8143673561057735,0.8180032308092842,0.03453553635590383,10
redesigned_supervised_ae,rmse,11.618564912275783,11.605248656857402,1.0737542582267239,10
redesigned_supervised_ae,spearman,0.9048229730668839,0.9051327966105926,0.012903939665400623,10
truncated_svd,mae,12.691134644584636,12.575552766329823,0.48908990998752955,10
truncated_svd,r2,0.655014445354204,0.6594304566378737,0.017140034912571878,10
truncated_svd,rmse,15.908697940565332,16.112231644607583,0.6157296915136828,10
truncated_svd,spearman,0.836025185864677,0.8342537609516667,0.0068957715129982725,10
typed_transfer_without_ae,mae,7.786017341226622,7.874105171840092,0.5242608055264654,10
typed_transfer_without_ae,r2,0.827100478316258,0.8219888026226592,0.021368989574506492,10
typed_transfer_without_ae,rmse,11.242617238053912,11.412249150710295,0.7496956337539459,10
typed_transfer_without_ae,spearman,0.9064692538738098,0.9077776439414517,0.009051216207830342,10
