,seed,seed,seed,mae_baseline,mae_baseline,mae_baseline,mae_augmented,mae_augmented,mae_augmented,mae_delta_aug_minus_base,mae_delta_aug_minus_base,mae_delta_aug_minus_base,rmse_baseline,rmse_baseline,rmse_baseline,rmse_augmented,rmse_augmented,rmse_augmented,rmse_delta_aug_minus_base,rmse_delta_aug_minus_base,rmse_delta_aug_minus_base,r2_baseline,r2_baseline,r2_baseline,r2_augmented,r2_augmented,r2_augmented,r2_delta_aug_minus_base,r2_delta_aug_minus_base,r2_delta_aug_minus_base,spearman_baseline,spearman_baseline,spearman_baseline,spearman_augmented,spearman_augmented,spearman_augmented,spearman_delta_aug_minus_base,spearman_delta_aug_minus_base,spearman_delta_aug_minus_base
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
train_fraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,2.0,1.5811388300841898,5,17.659406863926637,1.244519697335524,5,16.242731843871525,1.4664975200775412,5,-1.4166750200551124,0.8238489811559944,5,22.167490201653905,1.5708910258970732,5,20.470761498481433,1.6703476344273698,5,-1.6967287031724716,0.9687461726733447,5,0.3611510305091238,0.07822291678424595,5,0.45499346685841396,0.07542819001271693,5,0.09384243634929011,0.05437882976407047,5,0.6474599302972028,0.07566852113850954,5,0.7083651979056957,0.038075572654837485,5,0.06090526760849289,0.056628697577153025,5
0.05,2.0,1.5811388300841898,5,11.394685336275685,0.81517298323999,5,11.266121015927556,0.8546242307083113,5,-0.12856432034812748,0.1477803442042537,5,15.369318288459516,0.8499654701220033,5,14.993174048819418,0.7545712959474095,5,-0.3761442396400991,0.20023050870398498,5,0.6932197037186855,0.028046608163424358,5,0.7080258502819625,0.025056875236655844,5,0.014806146563277011,0.007851623529237354,5,0.8389864628005705,0.018807448309715747,5,0.848202556389435,0.016647962813968235,5,0.009216093588864372,0.006284481055045653,5
0.1,2.0,1.5811388300841898,5,9.827956546558536,0.6161192357778157,5,9.875222522333564,0.45158659838942455,5,0.047265975775028224,0.24653537814493526,5,13.627850629676214,0.8990993429510286,5,13.306551817530192,0.585982657452317,5,-0.3212988121460231,0.32775500100517635,5,0.7587883764354897,0.025550348469960238,5,0.7702539950655101,0.014187676149021337,5,0.011465618630020491,0.011885842095542993,5,0.8700025892769293,0.019195823135950668,5,0.8775784505445413,0.012769246424998727,5,0.007575861267612116,0.009647616706251605,5
0.2,2.0,1.5811388300841898,5,7.9539818320803235,0.3476644847058592,5,,,0,,,0,11.43786468332705,0.7218806803654433,5,,,0,,,0,0.8301169623395921,0.017024202340790228,5,,,0,,,0,0.9069076271560338,0.014693625120296632,5,,,0,,,0
0.5,2.0,1.5811388300841898,5,5.693720758282871,0.3322427107670244,5,,,0,,,0,8.351807037214524,0.4266537320119497,5,,,0,,,0,0.9094615896310356,0.0069994996534602375,5,,,0,,,0,0.9488507727391913,0.007065542200514733,5,,,0,,,0
