fold_index,train_fraction,split_method,group_column,heldout_group_value,policy_id,augmentation_method,synthetic_multiplier,min_neighbor_similarity,teacher_model,augmentation_random_state,n_real_train,n_synthetic_train,augmentation_factor,synthetic_weighting_enabled,mean_synthetic_weight,min_synthetic_weight,max_synthetic_weight,max_teacher_std,max_prediction_range,n_candidates_generated,acceptance_rate,mean_teacher_std,mean_prediction_range,mean_nearest_train_similarity,feature_kind,n_features,model,selected_policy,split,metric,value
0,0.01,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_3,condition_recombine_ensemble_filter,1.5,0.75,ensemble,3,31,40,2.2903225806451615,False,1.0,1.0,1.0,16.0,35.0,46,0.8695652173913043,5.315992463857978,13.389988376259804,0.8274941176176072,reaction_role_concat,6144,random_forest,True,valid,rmse,21.3507927632854
0,0.01,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_3,condition_recombine_ensemble_filter,1.5,0.75,ensemble,3,31,40,2.2903225806451615,False,1.0,1.0,1.0,16.0,35.0,46,0.8695652173913043,5.315992463857978,13.389988376259804,0.8274941176176072,reaction_role_concat,6144,random_forest,True,valid,mae,16.86364866290515
0,0.01,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_3,condition_recombine_ensemble_filter,1.5,0.75,ensemble,3,31,40,2.2903225806451615,False,1.0,1.0,1.0,16.0,35.0,46,0.8695652173913043,5.315992463857978,13.389988376259804,0.8274941176176072,reaction_role_concat,6144,random_forest,True,valid,r2,0.360741456321678
0,0.01,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_3,condition_recombine_ensemble_filter,1.5,0.75,ensemble,3,31,40,2.2903225806451615,False,1.0,1.0,1.0,16.0,35.0,46,0.8695652173913043,5.315992463857978,13.389988376259804,0.8274941176176072,reaction_role_concat,6144,random_forest,True,valid,spearman,0.6436770252559868
0,0.01,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_3,condition_recombine_ensemble_filter,1.5,0.75,ensemble,3,31,40,2.2903225806451615,False,1.0,1.0,1.0,16.0,35.0,46,0.8695652173913043,5.315992463857978,13.389988376259804,0.8274941176176072,reaction_role_concat,6144,random_forest,True,test,rmse,23.11857928980139
0,0.01,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_3,condition_recombine_ensemble_filter,1.5,0.75,ensemble,3,31,40,2.2903225806451615,False,1.0,1.0,1.0,16.0,35.0,46,0.8695652173913043,5.315992463857978,13.389988376259804,0.8274941176176072,reaction_role_concat,6144,random_forest,True,test,mae,18.62941183921364
0,0.01,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_3,condition_recombine_ensemble_filter,1.5,0.75,ensemble,3,31,40,2.2903225806451615,False,1.0,1.0,1.0,16.0,35.0,46,0.8695652173913043,5.315992463857978,13.389988376259804,0.8274941176176072,reaction_role_concat,6144,random_forest,True,test,r2,0.3163229771029832
0,0.01,random,,,condition_recombine_ensemble_filter__mult_1.5__sim_0.75__std_16__range_35__seed_3,condition_recombine_ensemble_filter,1.5,0.75,ensemble,3,31,40,2.2903225806451615,False,1.0,1.0,1.0,16.0,35.0,46,0.8695652173913043,5.315992463857978,13.389988376259804,0.8274941176176072,reaction_role_concat,6144,random_forest,True,test,spearman,0.6129558272106997
1,0.05,random,,,condition_recombine_ensemble_filter__mult_1__sim_0.8__std_16__range_50__seed_4,condition_recombine_ensemble_filter,1.0,0.8,ensemble,4,158,139,1.879746835443038,False,1.0,1.0,1.0,16.0,50.0,158,0.879746835443038,4.371913412742921,10.787299245698845,0.8693342496165268,reaction_role_concat,6144,random_forest,True,valid,rmse,14.061836610344779
1,0.05,random,,,condition_recombine_ensemble_filter__mult_1__sim_0.8__std_16__range_50__seed_4,condition_recombine_ensemble_filter,1.0,0.8,ensemble,4,158,139,1.879746835443038,False,1.0,1.0,1.0,16.0,50.0,158,0.879746835443038,4.371913412742921,10.787299245698845,0.8693342496165268,reaction_role_concat,6144,random_forest,True,valid,mae,10.446849461290277
